wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
2,195,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,96008,https://wifire-data.sdsc.edu/data//burnpro3d/d/a9/1c/run_a91c3dce-bb7b-4d41-bc21-679d9d73061c/png/run_a91c3dce-bb7b-4d41-bc21-679d9d73061c_fuels-dens_2100_000.png
2,180,0.1,ST5_FFDUET_Over10m,ST5_ignite_strip.dat,safe,safe,Yes,,182545,https://wifire-data.sdsc.edu/data//burnpro3d/d/3c/a3/run_3ca3af2f-227b-401a-8911-e550b99e2f35/png/run_3ca3af2f-227b-401a-8911-e550b99e2f35_fuels-dens_2100_000.png
2,180,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,120429,https://wifire-data.sdsc.edu/data//burnpro3d/d/d7/8b/run_d78b5208-b0ed-4f1c-abfb-6142ce45c631/png/run_d78b5208-b0ed-4f1c-abfb-6142ce45c631_fuels-dens_2100_000.png
2,240,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,119107,https://wifire-data.sdsc.edu/data//burnpro3d/d/7f/3f/run_7f3fd02b-a2c1-4a4a-8199-fe414be5b71e/png/run_7f3fd02b-a2c1-4a4a-8199-fe414be5b71e_fuels-dens_2100_000.png
3,225,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,122658,https://wifire-data.sdsc.edu/data//burnpro3d/d/15/5d/run_155d0e55-bb87-4a13-acf7-5082865b208e/png/run_155d0e55-bb87-4a13-acf7-5082865b208e_fuels-dens_2100_000.png
3,195,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,126337,https://wifire-data.sdsc.edu/data//burnpro3d/d/d2/45/run_d245b3f4-fc05-4f34-925b-52d9b3c47aaa/png/run_d245b3f4-fc05-4f34-925b-52d9b3c47aaa_fuels-dens_2100_000.png
3,180,0.1,ST5_FFDUET_Over10m,ST5_ignite_strip.dat,safe,safe,Yes,,145650,https://wifire-data.sdsc.edu/data//burnpro3d/d/14/87/run_14878592-2c90-45c0-9947-765dd89ba2b8/png/run_14878592-2c90-45c0-9947-765dd89ba2b8_fuels-dens_2100_000.png
3,180,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,123396,https://wifire-data.sdsc.edu/data//burnpro3d/d/2b/27/run_2b27869b-3a75-416e-b87e-8aa38649f3f8/png/run_2b27869b-3a75-416e-b87e-8aa38649f3f8_fuels-dens_2100_000.png
3,240,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,121331,https://wifire-data.sdsc.edu/data//burnpro3d/d/7d/5e/run_7d5e5f29-91dc-4925-a3a4-a2ef29eae993/png/run_7d5e5f29-91dc-4925-a3a4-a2ef29eae993_fuels-dens_2100_000.png
2,255,0.1,ST5_FFDUET_Over10m,ST5_ignite_strip.dat,safe,safe,Yes,,140088,https://wifire-data.sdsc.edu/data//burnpro3d/d/7e/40/run_7e409cd0-d5b7-4459-a007-24525a78a05e/png/run_7e409cd0-d5b7-4459-a007-24525a78a05e_fuels-dens_2100_000.png
